"Site.Name","Escape.ID","Operator.at.Time.of.Escape","Escape.Water.Type","Escape.Start.Date","Escape.Start.Time","Escape.End.Time","Escape.Grid.Reference","Escaped.Species","Stage","Age","Average.Weight.Kg.","Initial.Date.of.Escape","Initial.Number.Escaped","Initial.Escape.Reason","Final.Date.of.Escape","Final.Number.Escaped","Final.Number.Recovered","Final.Escape.Reason","Marine.Scotland.Site.ID","Date.Registered","National.Grid.Reference","Local.Authority","Producing.in.Last.3.Years","Site.Address.1","Site.Address.2","Site.Address.3","Site.Post.Code","Site.Contact.Number","Aquaculture.Type","Water.Type","Health.Surveillance","Easting","Northing","MS.Management.Area","Region","Operator","Species","year","month","c2","c3","c4","c5","c6","c7"
"badcall bay",2000119,"loch duart ltd","s","4-Jun-02","10:00",NA,"nc153406","atlantic salmon","grower fish (salmon only)",13,2.34,"5-Jun-02","8,147","chafe/ snag - cha","10-Jun-02",0,0,"chafe/ snag","fs0067","26-Aug-91","nc153406","highland","yes","badcall salmon house","scourie, lairg","sutherland","iv27 4th","01971 502451","fish","seawater","low",215300,940600,"9c - badcall, chairn bhain, eddrachillis","highland","loch duart ltd","wrasse, atlantic salmon, lumpsucker",NA,NA,NA,NA,NA,NA,NA,NA
"badcall bay",2000057,"loch duart ltd","s","14-Oct-05",NA,"17-Oct-05","nc153406","atlantic salmon","grower fish (salmon only)",16,4,"20-Oct-05","3000","hole in net - hol","21-Oct-05",0,0,"hole in net","fs0067","26-Aug-91","nc153406","highland","yes","badcall salmon house","scourie, lairg","sutherland","iv27 4th","01971 502451","fish","seawater","low",215300,940600,"9c - badcall, chairn bhain, eddrachillis","highland","loch duart ltd","atlantic salmon, lumpsucker, wrasse",NA,NA,NA,NA,NA,NA,NA,NA
"bagh chlann neill (grimsay)",2000408,"the scottish salmon company","s","24-Jul-14","16:30","24-Jul-14","nf885558","atlantic salmon","broodfish",28,9,"25-Jul-14","35","other - oth","6-Aug-14",40,0,"other","fs0051","31-Oct-94","nf886558","western isles","yes","kallin shorebase","grimsay","north uist","hs6 5hy","01546 602172","fish","seawater","medium",88600,855800,"7a - ronay, benbecula, n south uist","western isles","the scottish salmon company","lumpsucker, atlantic salmon, wrasse",NA,NA,NA,NA,NA,NA,NA,NA
"balta isle",2000401,"balta island seafare ltd","s","2-Jan-14",NA,"2-Jan-14","hp658085","atlantic salmon","grower fish (salmon only)",20,4,"15-Jan-14","100-200","predator - prd","2-Feb-14",150,0,"predator","fs0717","16-Oct-91","hp657082","shetland","yes","uyeasound","unst","shetland","ze2 9dl","01957 755253","fish","seawater","medium",465700,1208200,"1a - e unst","shetland","cooke aquaculture scotland ltd","atlantic salmon",NA,NA,NA,NA,NA,NA,NA,NA
"balta isle",2000089,"balta island seafare ltd","s","29-Apr-04",NA,"6-May-04","hp658080","atlantic salmon","grower fish (salmon only)",2,5,"13-May-04","11,300","predator - prd","13-May-04",0,0,"predator","fs0717","16-Oct-91","hp657082","shetland","yes","uyeasound","unst","shetland","ze2 9dl","01957 755253","fish","seawater","medium",465700,1208200,"1a - e unst","shetland","cooke aquaculture scotland ltd","atlantic salmon",NA,NA,NA,NA,NA,NA,NA,NA
"balta isle",2000085,"balta island seafare ltd","s","11-Aug-04",NA,"13-Aug-04","hp658080","atlantic salmon","grower fish (salmon only)",24,8,"16-Aug-04","400","predator - prd","16-Aug-04",400,0,"predator","fs0717","16-Oct-91","hp657082","shetland","yes","uyeasound","unst","shetland","ze2 9dl","01957 755253","fish","seawater","medium",465700,1208200,"1a - e unst","shetland","cooke aquaculture scotland ltd","atlantic salmon",NA,NA,NA,NA,NA,NA,NA,NA
"balta isle",2000282,"balta island seafare ltd","s","24-May-11",NA,"30-May-11",NA,"atlantic salmon","grower fish (salmon only)",12,1,"30-May-11","6,000","predator - prd","10-Jun-11",0,0,"predator","fs0717","16-Oct-91","hp657082","shetland","yes","uyeasound","unst","shetland","ze2 9dl","01957 755253","fish","seawater","medium",465700,1208200,"1a - e unst","shetland","cooke aquaculture scotland ltd","atlantic salmon",NA,NA,NA,NA,NA,NA,NA,NA
"balta isle",2000404,"balta island seafare ltd","s","14-Jan-14",NA,"23-Jan-14",NA,"atlantic salmon","grower fish (salmon only)",20,3.5,"23-Jan-14","<5000","predator - prd","11-Feb-14",0,0,"predator","fs0717","16-Oct-91","hp657082","shetland","yes","uyeasound","unst","shetland","ze2 9dl","01957 755253","fish","seawater","medium",465700,1208200,"1a - e unst","shetland","cooke aquaculture scotland ltd","atlantic salmon",NA,NA,NA,NA,NA,NA,NA,NA
"balta isle",2000434,"balta island seafare ltd","s","7-Sep-15","11:00","7-Sep-15","hp656081","atlantic salmon","grower fish (salmon only)",17,3.6,"7-Sep-15","1","human error - hum","7-Sep-15",1,0,"human error","fs0717","16-Oct-91","hp657082","shetland","yes","uyeasound","unst","shetland","ze2 9dl","01957 755253","fish","seawater","medium",465700,1208200,"1a - e unst","shetland","cooke aquaculture scotland ltd","atlantic salmon",NA,NA,NA,NA,NA,NA,NA,NA
"balta isle",2000192,"balta island seafare ltd","s","1-Mar-08",NA,"2-Mar-08",NA,"atlantic salmon","grower fish (salmon only)",10,0.9,"11-Mar-08","10,000-12,000","weather - wth","29-Mar-08",0,0,"weather","fs0717","16-Oct-91","hp657082","shetland","yes","uyeasound","unst","shetland","ze2 9dl","01957 755253","fish","seawater","medium",465700,1208200,"1a - e unst","shetland","cooke aquaculture scotland ltd","atlantic salmon",NA,NA,NA,NA,NA,NA,NA,NA
